"SourceFile","SourceLine","SourceMethod","Disposition","VerificationClass","VerificationMethod","ReportScenario","Notes"
"Test_RiskAnalysis.vb","2032","Test_NFIP_Assurance_TOL_55","Covered","NfipAssuranceVerification","Test_Tol55_Api_VsOracleExactAndReport","","Active NFIP assurance configuration."
"Test_RiskAnalysis.vb","206","Test_5Element_1PFM_Adaptive","NonOracleWorkbench","","","","Debugger-only adaptive-integration workbench; its identities are covered elsewhere."
"Test_RiskAnalysis.vb","2074","Test_NFIP_Assurance_TOL_60","Covered","NfipAssuranceVerification","Test_Tol60_BootstrapHazard_VsConditionalQuadrature","","Active two-knot workbench fragility and bootstrap-hazard configuration."
"Test_RiskAnalysis.vb","2121","Test_NFIP_Assurance_TOL_65","Covered","NfipAssuranceVerification","Test_Tol65_BootstrapHazard_VsConditionalQuadrature","","Active 21-knot fragility and bootstrap-hazard configuration."
"Test_RiskAnalysis.vb","2160","Test_NFIP_Assurance_TOL_65_FDA","Obsolete","","","","FDA/NFIP variant explicitly excluded as obsolete by the technical authority."
"Test_RiskAnalysis.vb","2284","Test_NFIP_Assurance_TOL_70","Covered","NfipAssuranceVerification","Test_Tol70_Api_VsOracleExactAndReport","","Active NFIP assurance configuration."
"Test_RiskAnalysis.vb","2328","Test_Composite_Uncertainty","Covered","CompositeHazardVerification","Test_BootstrapBands_VsIndexParityOracle","","Composite-hazard uncertainty configuration."
"Test_RiskAnalysis.vb","2360","Test_Composite_Consequence_Mixture","Covered","CompositeConsequenceVerification","Test_Mixture_Percentiles_VsMixtureInverseCdfOracle","","Composite-consequence mixture configuration."
"Test_RiskAnalysis.vb","2375","Test_EAD","Covered","EadVerification","Test_Ead_ClosedForm_Oracle_BothMappings","","Expected-annual-damage configuration."
"Test_RiskAnalysis.vb","244","Test_1Element_2PFM","Duplicate","JointFailuresVerification","Test_2PFM_PerfectlyNegative_AllRules_VsOracle","","Stream-identical negative/minimum scenario."
"Test_RiskAnalysis.vb","361","Test_Composite","Covered","CompositeEngineVerification","Test_CompositeHazard_MixtureIdentityBehindEngine","","Engine-level composite mixture identity."
"Test_RiskAnalysis.vb","481","Test_1Element_3PFM","Covered","RiskAnalysisCombosVerification","Test_1Comp3Pfm_PerfectlyNegative_AllRules_VsOracle","","Intermediate failure-mode dimension."
"Test_RiskAnalysis.vb","582","Test_1Element_4PFM","Covered","RiskAnalysisCombosVerification","Test_1Comp4Pfm_PerfectlyNegative_AllRules_VsOracle","","Intermediate failure-mode dimension."
"Test_RiskAnalysis.vb","687","Test_1Element_5PFM","Duplicate","JointFailuresVerification","Test_5PFM_Independent_AllRules_VsOracle","","Stream-identical five-mode independent scenario."
"Test_RiskAnalysis.vb","807","Test_2Element_1PFM","Duplicate","SystemRiskMatrixVerification","Test_2Comp1Pfm_Independent_AllRules_VsOracle","","Equivalent two-component independent scenario."
